lat,lon,T_cold,GDD0,P_season,TP_syn,Aridity,ISO
47.574329325598,-121.001570863448,-65,1299,64,-91,-31,30
36.9020441730245,-116.223921177152,17,4275,36,-44,108,40
37.5897501171277,-117.672002381176,-4,3954,24,35,160,41
43.3308936279746,-118.506243403084,-40,2616,39,-78,79,42
51.0946757868746,-124.122127250453,-111,660,21,-64,29,36
37.8250549000288,-112.74891463251,-54,2145,23,4,48,43
52.9606464745206,-122.541039956816,-101,2211,40,43,20,32
26.7939656252016,-107.933789434151,126,6738,83,59,-12,59
39.2282341858385,-119.18893125595,-10,3552,17,-43,154,45
46.843558439177,-110.197745766937,-61,2115,47,70,9,38
43.6605785032648,-118.35499416135,-37,3012,41,-79,93,40
41.5815033097741,-111.186270470935,-88,2157,24,57,75,39
51.0603675930676,-121.525111015331,-86,1809,29,8,44,31
53.1691930292642,-121.39643377246,-98,1752,22,-19,-35,33
50.2465576531416,-109.907045627893,-141,2559,46,81,56,29
28.5547494594399,-113.694389489578,121,6381,90,-37,153,59
49.6446022215099,-109.973444488907,-143,1950,43,76,27,30
47.6081784790366,-123.259908458179,-27,1143,67,-87,-77,37
55.2781748212487,-125.198618053513,-136,1653,33,9,23,28
49.0116165869455,-122.758347495302,24,3381,53,-92,-68,39
41.201760891773,-121.301887484653,-10,2877,68,-97,21,45
30.4494492264931,-108.294299401786,35,4386,74,67,38,49
43.3749192851569,-119.968906428659,-37,2406,32,-67,71,42
44.7990038025011,-119.702819188085,11,3864,45,-70,67,44
49.370511344225,-109.64674025419,-146,2358,47,75,56,31
26.6349493321568,-107.071115683817,103,5715,79,64,-25,61
34.5362401895294,-113.051063109504,73,6033,68,-8,91,48
48.9476043062842,-117.647246513125,-60,2520,38,-81,9,31
50.9149751312523,-120.001411291513,-66,2622,32,21,52,31
35.2568617855147,-113.071102942138,16,3858,55,28,43,48
40.2498441881475,-111.025896103392,-76,2097,19,-87,45,37
22.7258482527566,-104.564387832112,110,5679,90,58,-12,60
39.8438184685235,-121.98529544468,75,5937,88,-96,25,45
47.8336440670025,-121.716761431173,32,3624,56,-95,-107,42
31.3340069587152,-110.147343613382,81,6069,72,54,75,49
26.8086792310042,-108.138671933489,143,7437,84,56,10,58
49.860790697034,-122.177110265111,-71,1428,38,-86,-8,32
51.5634435845958,-119.954558738974,-105,1209,21,-27,-5,30
59.6109027859616,-130.022848885151,-187,990,34,4,9,28
40.060014184636,-118.258501197272,-6,3897,33,-46,151,43
38.1161840940728,-115.028857427851,-6,3876,15,0,97,42
39.3451679351668,-114.373302770238,-22,3426,31,62,100,41
33.2273679289824,-115.918728107697,128,8151,80,-63,263,47
41.3221064715441,-123.059181269137,24,4005,81,-94,-37,48
44.7609628355148,-110.378280477352,-111,1602,16,38,23,38
31.1001481397796,-111.854360992115,108,7137,83,49,113,51
41.5012825537656,-106.49937041773,-60,2088,28,68,47,39
46.6378637203495,-119.788496357147,2,4338,48,-87,129,35
47.3311078093979,-120.086124079984,-17,4074,47,-87,148,33
49.4362563027857,-123.176954289888,-12,2412,58,-88,-75,32
55.2836476309559,-129.334038229332,-83,852,34,-34,-31,32
